Istituto Principale,Scuola,Tipo Istituto,Tipo Gestione,Indirizzo,Comune,Telefono,Fax,Email istituto,Email segreteria,Sito web,Codice MIUR,CAP
Centro Formazione Professionale ENAIP - Arco,SETTORE INDUSTRIA E ARTIGIANATO,Formazione professionale,Paritaria,"Via Gazzoletti, 8",ARCO,0464/516465,0464/516497,cfp.arco@pec.it,cfp.arco@enaip.tn.it,www.enaiptrentino.it,TNFP249STA,38062
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,"SCUOLA PRIMARIA ""PADRE E. CHIOCCHETTI"" MOENA",Scuola Primaria,Statale,"Strada don Giovanni Iori, 19",MOENA - MOENA,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNEE85002V,38035
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,"SCUOLA PRIMARIA ""DON G. B. MASSAR"" VIGO DI FASSA",Scuola Primaria,Statale,"Piaz Jan Batista Massar - Vigo di Fassa, 14",SAN GIOVANNI DI FASSA - SEN JAN,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNEE850063,38039
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,"SCUOLA PRIMARIA ""G. RIZZI"" CANAZEI",Scuola Primaria,Statale,"Via de Magoa, 15",CANAZEI - CIANACEI,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNEE85001T,38032
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,LICEO LADINO DELLE LINGUE,Scuola Secondaria di Secondo Grado,Statale,"Strada de pra del Monech, 6",SAN GIOVANNI DI FASSA - SEN JAN,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNPS09000Q,38036
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,"SCUOLA SECONDARIA DI PRIMO GRADO ""DON G. JORI"" MOENA",Scuola Secondaria di Primo Grado,Statale,"Strada don Giovanni Iori, 19",MOENA - MOENA,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNMM85002T,38035
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,"SCUOLA PRIMARIA ""DON L. GROSS"" POZZA DI FASSA",Scuola Primaria,Statale,"Strada De Bagnes - Pozza di Fassa, 10",SAN GIOVANNI DI FASSA - SEN JAN,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNEE85003X,38036
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,LICEO ARTISTICO,Scuola Secondaria di Secondo Grado,Statale,"Strada Dolomites - Pozza di Fassa, 7",SAN GIOVANNI DI FASSA - SEN JAN,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNSD010009,38036
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,SCUOLA SECONDARIA DI PRIMO GRADO POZZA DI FASSA,Scuola Secondaria di Primo Grado,Statale,"Strada Dolomites - Pozza di Fassa, 67",SAN GIOVANNI DI FASSA - SEN JAN,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNMM85003V,38036
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,"SCUOLA SECONDARIA DI PRIMO GRADO ""T. SORARUF"" CAMPITELLO DI FASSA",Scuola Secondaria di Primo Grado,Statale,"Strèda de Marin, 3/A",CAMPITELLO DI FASSA - CIAMPEDEL,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNMM85001R,38031
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,LICEO SCIENTIFICO,Scuola Secondaria di Secondo Grado,Statale,"Strada de pra del Monech, 6",SAN GIOVANNI DI FASSA - SEN JAN,0462/763702,0462/760001,scuolaladinadifassa@pec.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,www.scuoladifassa.it,TNPS09000Q,38036
ISTITUTO COMPRENSIVO LEVICO TERME,SCUOLA PRIMARIA LEVICO TERME,Scuola Primaria,Statale,"Via della Pace, 5",LEVICO TERME,0461/706146,0461/706099,ic.levicoterme@pec.provincia.tn.it,segr.ic.levico@scuole.provincia.tn.it,www.iclevico.eu,TNEE818034,38056
"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE G. GALILEI,Scuola Secondaria di Secondo Grado,Statale,"Viale Bolognini, 88",TRENTO,0461/913479,0461/913367,galilei@pec.provincia.tn.it,segr.liceogalilei@scuole.provincia.tn.it,www.lsgalilei.org/,TNPS01000V,38122
Scuola dell'infanzia di Molina di Ledro,Scuola dell'Infanzia di Molina di  Ledro,Scuola dell'infanzia,Paritaria,"Via Sartori - Molina di Ledro, 25",LEDRO,0464-508477,,molina.ledro.presidente@fpsm.tn.it,molina.ledro.segretario@fpsm.tn.it,,,38067
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,"SCUOLA PRIMARIA ""CARD. J. BERNARDIN"" TONADICO",Scuola Primaria,Statale,"Via Sorelle Lucian - Tonadico, 8",PRIMIERO SAN MARTINO DI CASTROZZA,0439/62435,0439/762466,ic.primiero@pec.provincia.tn.it,segr.icprimiero@scuole.provincia.tn.it,www.scuoleprimiero.it,TNEE81007N,38054
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,SCUOLA PRIMARIA VEZZANO,Scuola Primaria,Statale,"Via Roma - Vezzano, 3",VALLELAGHI,0461/864026,0461/340648,ic.valledeilaghi@pec.provincia.tn.it,segr.ic.valledeilaghi@scuole.provincia.tn.it,www.icvalledeilaghidro.it,TNEE84403L,38070
Scuola dell'infanzia di S. Margherita di Ala,Scuola dell'Infanzia di S. Margherita di Ala,Scuola dell'infanzia,Paritaria,"Via Gazzoletti - Santa Margherita, 35",ALA,0464-696494,,s.margherita.presidente@fpsm.tn.it,s.margherita.segretario@fpsm.tn.it,,,38061
Scuola dell'infanzia di Tonadico,Scuola dell'Infanzia di Tonadico,Scuola dell'infanzia,Paritaria,"Via Fuganti - Tonadico, 8",PRIMIERO SAN MARTINO DI CASTROZZA,0439-762062,,tonadico.segretario@fpsm.tn.it,tonadico.segretario@fpsm.tn.it,,,38054
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""","SCUOLA SECONDARIA DI PRIMO GRADO ""G. CICCOLINI"" MALE'",Scuola Secondaria di Primo Grado,Statale,"Via Taddei De Mauris, 4",MALE',0463/901237,0463/902866,ic.bassavaldisole@pec.provincia.tn.it,segr.ciccolini.male@scuole.provincia.tn.it,www.icbassavaldisole.it,TNMM833013,38027
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via S Pietro, 4",PERGINE VALSUGANA,0461/511397,0461/531743,curie@pec.provincia.tn.it,segr.curie.pergine@scuole.provincia.tn.it,www.curiepergine.it,TNTD00450R,38057
"LICEO ""A. Rosmini"" - ROVERETO",LICEO SCIENTIFICO,Scuola Secondaria di Secondo Grado,Statale,"Corso Bettini, 86",ROVERETO,0464/437700,0464/420025,rosmini.rovereto@pec.provincia.tn.it,segr.liceorosmini@scuole.provincia.tn.it,www.liceorosmini.eu,TNPC02000A,38068
Scuola dell'infanzia di Smarano,Scuola dell'Infanzia di Smarano,Scuola dell'infanzia,Paritaria,"Via Torre - Smarano, 6",PREDAIA,0463-536702,,smarano.presidente@fpsm.tn.it,smarano.segretario@fpsm.tn.it,,,38012
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Scuola Secondaria di Secondo Grado,Statale,"Via S Pietro, 4",PERGINE VALSUGANA,0461/511397,0461/531743,curie@pec.provincia.tn.it,segr.curie.pergine@scuole.provincia.tn.it,www.curiepergine.it,TNTD00401C,38057
Scuola dell'infanzia di Trento La Clarina,Scuola dell'Infanzia di Trento La Clarina,Scuola dell'infanzia,Paritaria,"Via Einaudi, 66",TRENTO,0461-923464,,trento.clarina.presidente@fpsm.tn.it,trento.clarina.segretario@fpsm.tn.it,,,38123
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,"SCUOLA SECONDARIA DI PRIMO GRADO ""E. Leonardi"" TUENNO",Scuola Secondaria di Primo Grado,Statale,"Via Maistrelli - Tuenno, 11",VILLE D'ANAUNIA,0461/655783,0461/655783,ic.bassaanaunia@pec.provincia.tn.it,segr.ic.denno@scuole.provincia.tn.it,www.icbassaanauniatuenno.it,TNMM82902C,38019
"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""","SCUOLA PRIMARIA ""PIGARELLI"" GARDOLO TRENTO",Scuola Primaria,Statale,"Via 4 Novembre, 42/1",TRENTO,0461/990287,0461/994418,ic.trento7@pec.provincia.tn.it,segr.ic.tn7@scuole.provincia.tn.it,www.trento7.it,TNEE85103Q,38121
Scuola dell'infanzia di Mollaro,Scuola dell'Infanzia di Mollaro,Scuola dell'infanzia,Paritaria,"Via Della Pausa - Mollaro, 1",PREDAIA,0463-469224,,mollaro.contabile@fpsm.tn.it,mollaro.segretario@fpsm.tn.it,,,38012
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",LICEO SCIENTIFICO,Scuola Secondaria di Secondo Grado,Statale,"Via Perlasca, 4",MEZZOLOMBARDO,0461/601122,0461/601470,martini@pec.provincia.tn.it,segr.martini.mezzolombardo@scuole.provincia.tn.it,www.martinomartini.eu,TNPS00301R,38017
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""",SCUOLA PRIMARIA DIMARO,Scuola Primaria,Statale,"Piazza Madonna Della Pace - Dimaro, 14",DIMARO FOLGARIDA,0463/901237,0463/902866,ic.bassavaldisole@pec.provincia.tn.it,segr.ciccolini.male@scuole.provincia.tn.it,www.icbassavaldisole.it,TNEE833047,38025
"Scuola dell'infanzia di Trento San Donà ""B. Kofler""","Scuola dell'Infanzia di Trento San Donà ""B. Kofler""",Scuola dell'infanzia,Paritaria,"Via per Cognola, 43",TRENTO,0461 260977,0461 983903,cognola.segretario@fpsm.tn.it,trento.san.dona.segretario@fpsm.tn.it,,,38122
ISTITUTO COMPRENSIVO ROVERETO EST,SCUOLA PRIMARIA MOSCHERI TRAMBILENO,Scuola Primaria,Statale,"Frazione Moscheri,  ",TRAMBILENO,0464/439249,0464/450456,ic.roveretoest@pec.provincia.tn.it,segr.ic.roveretoest@scuole.provincia.tn.it,www.roveretoest.it,TNEE85305D,38068
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,SCUOLA PRIMARIA DRO,Scuola Primaria,Statale,"Piazza Repubblica,  1",DRO,0461/864026,0461/340648,ic.valledeilaghi@pec.provincia.tn.it,segr.ic.valledeilaghi@scuole.provincia.tn.it,www.icvalledeilaghidro.it,TNEE84409V,38074
Scuola dell'infanzia di Pozza di Trambileno,Scuola dell'Infanzia di Pozza di Trambileno,Scuola dell'infanzia,Paritaria,"Frazione Vanza, 50",TRAMBILENO,0464-868074,,trambileno.presidente@fpsm.tn.it,trambileno.segretario@fpsm.tn.it,,,38068
Scuola dell'infanzia di San Martino di C.,Scuola dell'Infanzia di San Martino di C.,Scuola dell'infanzia,Paritaria,"Via Laghetto - San Martino Di Castrozza, 30",PRIMIERO SAN MARTINO DI CASTROZZA,0439-768666,,s.martino.castrozza.presidente@fpsm.tn.it,s.martino.castrozza.segretario@fpsm.tn.it,,,38054
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,"SCUOLA PRIMARIA ""M. PEZZI"" CAMPODENNO",Scuola Primaria,Statale,"Via S Maurizio, 3",CAMPODENNO,0461/655783,0461/655783,ic.bassaanaunia@pec.provincia.tn.it,segr.ic.denno@scuole.provincia.tn.it,www.icbassaanauniatuenno.it,TNEE82901C,38010
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO",LICEO DELLE SCIENZE UMANE,Scuola Secondaria di Secondo Grado,Statale,"Via Durone, 53",TIONE DI TRENTO,0465/321735,0465/322811,guetti@pec.provincia.tn.it,segr.guetti@scuole.provincia.tn.it,www.guetti.tn.it,TNPS007014,38079
ISTITUTO COMPRENSIVO VAL RENDENA,"SCUOLA PRIMARIA ""T. GIUSTINA"" CADERZONE",Scuola Primaria,Statale,"Via Regina Elena, 43",CADERZONE TERME,0465/501139,0465/512119,ic.valrendena@pec.provincia.tn.it,segr.ic.valrendena@scuole.provincia.tn.it,www.icvalrendena.it,TNEE83401X,38080
ISTITUTO COMPRENSIVO VALLE DI LEDRO,SCUOLA PRIMARIA TIARNO DI SOPRA,Scuola Primaria,Statale,"Piazza Milin, 14, Tiarno di Sopra",LEDRO,0464/592800,0464/592819,ic.vallediledro@pec.provincia.tn.it,segr.ic.bezzecca@scuole.provincia.tn.it,www.icvallediledro.it,TNEE80603T,38067
ISTITUTO COMPRENSIVO TIONE,SCUOLA SECONDARIA DI PRIMO GRADO RONCONE,Scuola Secondaria di Primo Grado,Statale,"via 3 Novembre, 22/A",SELLA GIUDICARIE,0465/321053,0465/324039,ic.tione@pec.provincia.tn.it,segr.ictione@scuole.provincia.tn.it,www.ictione.tn.it,TNMM83602G,38087
Scuola dell'infanzia di Moena,Scuola dell'Infanzia di Moena,Scuola dell'infanzia,Paritaria,"Strada don Giovanni Jori, 10",MOENA - MOENA,0462-573277,,moena.presidente@fpsm.tn.it,moena.segretario@fpsm.tn.it,,,38035
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE ""LA ROSA BIANCA""",Scuola Secondaria di Secondo Grado,Statale,"Via Gandhi, 1",CAVALESE,0462/341449,0462/248071,weisserose@pec.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,www.scuolefiemme.tn.it,TNPS001015,38033
ISTITUTO COMPRENSIVO TRENTO 3,"SCUOLA SECONDARIA DI PRIMO GRADO ""BRONZETTI - SEGANTINI"" TRENTO",Scuola Secondaria di Primo Grado,Statale,"Via Vittorio Veneto, 61",TRENTO,0461/934977,0461/920605,ic.trento3@pec.provincia.tn.it,segr.ic.tn3@scuole.provincia.tn.it,http://www.ictrento3.it,TNMM85601Q,38122
ISTITUTO COMPRENSIVO TAIO,SCUOLA PRIMARIA COREDO,Scuola Primaria,Statale,"Via delle Scuole, 6, Coredo",PREDAIA,0463/468193,0463/467616,ic.taio@pec.provincia.tn.it,segr.ictaio@scuole.provincia.tn.it,www.ictaio.it,TNEE826011,38012
Scuola dell'infanzia di Castello Di Fiemme,Scuola dell'Infanzia di Castello Di Fiemme,Scuola dell'infanzia,Paritaria,"Via Latemar, 2",CASTELLO-MOLINA DI FIEMME,0462-341153,,castello.fiemme.segretario@fpsm.tn.it,castello.fiemme.segretario@fpsm.tn.it,,,38030
Scuola dell'infanzia di Campitello di Fassa,Scuola dell'Infanzia di Campitello di Fassa,Scuola dell'infanzia,Paritaria,"Strèda sènc Felip e Giacum, 9",CAMPITELLO DI FASSA - CIAMPEDEL,0462-750470,,campitello.presidente@fpsm.tn.it,campitello.segretario@fpsm.tn.it,,,38031
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,"SCUOLA PRIMARIA ""V. Maistrelli"" TUENNO",Scuola Primaria,Statale,"Via Maistrelli - Tuenno, 11",VILLE D'ANAUNIA,0461/655783,0461/655783,ic.bassaanaunia@pec.provincia.tn.it,segr.ic.denno@scuole.provincia.tn.it,www.icbassaanauniatuenno.it,TNEE82907P,38019
"LICEO ""B. Russell"" - CLES",LICEO SCIENTIFICO B. RUSSELL,Scuola Secondaria di Secondo Grado,Statale,"Via 4 Novembre, 35",CLES,0463/424049,0463/424577,russell@pec.provincia.tn.it,segr.russell@scuole.provincia.tn.it,www.liceorussell.eu,TNPS006018,38023
Scuola dell'infanzia di Segno,Scuola dell'Infanzia di Segno,Scuola dell'infanzia,Paritaria,"Via Sonora, 18, Taio",PREDAIA,0463-468064,,segno.presidente@fpsm.tn.it,segno.segretario@fpsm.tn.it,,,38012
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via Del Teatro, 4",ROVERETO,0464/436100,0464/434116,fontana@pec.provincia.tn.it,segr.fontana@scuole.provincia.tn.it,www.fgfontana.eu,TNTD02050P,38068
"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE G. MARCONI,Scuola Secondaria di Secondo Grado,Statale,"Via Monti, 1",ROVERETO,0464/411400,0464/419130,marconi@pec.provincia.tn.it,segr.itimarconi@scuole.provincia.tn.it,www.marconirovereto.it,TNTF020501,38068
ISTITUTO COMPRENSIVO TRENTO 4,SCUOLA PRIMARIA OSPEDALE INFANTILE TRENTO,Scuola Primaria,Statale,"Largo Medaglie D Oro, 9",TRENTO,0461/920316,0461/922030,ic.trento4@pec.provincia.tn.it,segr.ictn4@scuole.provincia.tn.it,www.ictrento4.it,TNEE85703P,38122
Scuola dell'infanzia di Calceranica,Scuola dell'Infanzia di Calceranica,Scuola dell'infanzia,Paritaria,"Via Cavour, 2",CALCERANICA AL LAGO,0461-723325,,calceranica.contabile@fpsm.tn.it,calceranica.segretario@fpsm.tn.it,,,38050
"ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""","SCUOLA PRIMARIA ""A. ZADRA"" RIONE DEGASPERI RIVA DEL GARDA",Scuola Primaria,Statale,"Largo Caduti delle Foibe, 3",RIVA DEL GARDA,0464/552170,0464/520789,ic.riva2@pec.provincia.tn.it,segr.ic.riva2@scuole.provincia.tn.it,www.riva2.it,TNEE84201V,38066
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""","SCUOLA SECONDARIA DI PRIMO GRADO ""G. PASCOLI"" PIEVE DI BONO",Scuola Secondaria di Primo Grado,Statale,"Via Fiera - Creto - Pieve di Bono, 1",PIEVE DI BONO-PREZZO,0465/674049,0465/687076,ic.chiese-storo@pec.provincia.tn.it,segr.ic.chiese@scuole.provincia.tn.it,www.istitutodelchiese.it,TNMM838027,38085
Scuola dell'infanzia di Strigno,Scuola dell'Infanzia di Strigno,Scuola dell'infanzia,Paritaria,"Piazza 4 Novembre - Strigno, 11",CASTEL IVANO,0461-762327,,strigno.presidente@fpsm.tn.it,strigno.segretario@fpsm.tn.it,,,38059
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA,"SCUOLA PRIMARIA ""C. DARWIN"" MEZZOLOMBARDO",Scuola Primaria,Statale,"Via Filos, 3",MEZZOLOMBARDO,0461/601125,0461/601125,ic.mezzolombardo@pec.provincia.tn.it,segr.ic.mezzolombardo@scuole.provincia.tn.it,www.icmezzolombardopaganella.it,TNEE824019,38017
"LICEO ""A. Rosmini"" - TRENTO",LICEO DELLE SCIENZE UMANE,Scuola Secondaria di Secondo Grado,Statale,"Via Malfatti, 2",TRENTO,0461/914400,0461/914498,rosmini.trento@pec.provincia.tn.it,segr.rosmini.tn@scuole.provincia.tn.it,www.rosmini.eu,TNPM01000X,38122
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA,SCUOLA PRIMARIA LAVARONE,Scuola Primaria,Statale,"Frazione Gionghi,  107/5",LAVARONE,0464/721283,0464/723563,ic.folgaria-lavarone@pec.provincia.tn.it,segr.rella.folgaria@scuole.provincia.tn.it,www.icfolgarialavaroneluserna.it,TNEE804014,38046
Scuola dell'infanzia di Ala,Scuola dell'Infanzia di Ala,Scuola dell'infanzia,Paritaria,"Via De Ferrari, 1",ALA,0464-674717,0464 674717,ala.contabile@fpsm.tn.it,ala.segretario@fpsm.tn.it,,,38061
ISTITUTO COMPRENSIVO STRIGNO E TESINO,SCUOLA PRIMARIA SCURELLE,Scuola Primaria,Statale,"Via XV Agosto, 68",SCURELLE,0461/762046,0461/763409,ic.strignotesino@pec.provincia.tn.it,segr.ic.strignoetesino@scuole.provincia.tn.it,www.icstrignoetesino.it,TNEE80105R,38050
"Scuola dell'infanzia di Trento Cognola ""B. Kofler""","Scuola dell'infanzia di Trento Cognola ""B. Kofler""",Scuola dell'infanzia,Paritaria,"Via Kofler, 10",TRENTO,0461 235069,0461 983903,cognola.segretario@fpsm.tn.it,cognola.segretario@fpsm.tn.it,,,38121
Scuola dell'infanzia di Molveno,Scuola dell'Infanzia di Molveno,Scuola dell'infanzia,Paritaria,"Piazza S Carlo, 20",MOLVENO,0461-586969,,molveno.presidente@fpsm.tn.it,molveno.segretario@fpsm.tn.it,,,38018
"LICEO ""A. Maffei"" - RIVA DEL GARDA",LICEO DELLE SCIENZE UMANE,Scuola Secondaria di Secondo Grado,Statale,"Via Alberti Lutti, 7",RIVA DEL GARDA,0464/552316,0464/552316,maffei@pec.provincia.tn.it,segr.liceo.maffei@scuole.provincia.tn.it,https://e.liceomaffei.it,TNPC01000Q,38066
ISTITUTO COMPRENSIVO VAL RENDENA,"SCUOLA PRIMARIA ""S. MASSARI"" SPIAZZO RENDENA",Scuola Primaria,Statale,"Frazione Fisto,  112",SPIAZZO,0465/501139,0465/512119,ic.valrendena@pec.provincia.tn.it,segr.ic.valrendena@scuole.provincia.tn.it,www.icvalrendena.it,TNEE834065,38088
ISTITUTO COMPRENSIVO MEZZOCORONA,"SCUOLA SECONDARIA DI PRIMO GRADO ""E. CHINI"" MEZZOCORONA",Scuola Secondaria di Primo Grado,Statale,"Via Dante, 9",MEZZOCORONA,0461/605409,0461/605142,ic.mezzocorona@pec.provincia.tn.it,segr.ic.mezzocorona@scuole.provincia.tn.it,www.icmezzocorona.it,TNMM82301C,38016
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA",EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO,Formazione per adulti,Statale,"Via XXIV Maggio, 7",BORGO VALSUGANA,0461/753647,0461/753364,degasperi@pec.provincia.tn.it,segr.istalcidedegasperi@scuole.provincia.tn.it,www.istalcidedegasperi.it,TNCT708006,38051
Scuola dell'infanzia di Scurelle,Scuola dell'Infanzia di Scurelle,Scuola dell'infanzia,Paritaria,"Via Visintainer, 15",SCURELLE,0461-762268,,scurelle.presidente@fpsm.tn.it,scurelle.segretario@fpsm.tn.it,,,38050
ISTITUTO COMPRENSIVO TRENTO 3,"SCUOLA PRIMARIA ""A. NICOLODI"" TRENTO",Scuola Primaria,Statale,"Via Fogazzaro, 2",TRENTO,0461/934977,0461/920605,ic.trento3@pec.provincia.tn.it,segr.ic.tn3@scuole.provincia.tn.it,http://www.ictrento3.it,TNEE85604X,38122
Scuola dell'infanzia di Montesover,Scuola dell'Infanzia di Montesover,Scuola dell'infanzia,Paritaria,"Via Capitano Santuari, 1",SOVER,0461-698351,,sover.presidente@fpsm.tn.it,sover.segretario@fpsm.tn.it,,,38048
ISTITUTO COMPRENSIVO TRENTO 4,"SCUOLA SECONDARIA DI PRIMO GRADO ""O. WINKLER"" TRENTO",Scuola Secondaria di Primo Grado,Statale,"Viale Degli Olmi, 22",TRENTO,0461/920316,0461/922030,ic.trento4@pec.provincia.tn.it,segr.ictn4@scuole.provincia.tn.it,www.ictrento4.it,TNMM85701G,38123
ISTITUTO COMPRENSIVO LEVICO TERME,"SCUOLA PRIMARIA ""PADRE B. MARTINELLI"" CALCERANICA AL LAGO",Scuola Primaria,Statale,"Via della Scuola, 2",CALCERANICA AL LAGO,0461/706146,0461/706099,ic.levicoterme@pec.provincia.tn.it,segr.ic.levico@scuole.provincia.tn.it,www.iclevico.eu,TNEE818012,38050
Scuola dell'infanzia di Quadra - Cavrasto,Scuola dell'Infanzia di Quadra - Cavrasto,Scuola dell'infanzia,Paritaria,"Frazione Larido, 10",BLEGGIO SUPERIORE,0465-779575,,quadra.cavrasto.presidente@fpsm.tn.it,quadra.cavrasto.segretario@fpsm.tn.it,,,38071
Scuola dell'infanzia di Pilcante,Scuola dell'Infanzia di Pilcante,Scuola dell'infanzia,Paritaria,"Piazza Vittorio Veneto - Pilcante, 19",ALA,0464-672588,,pilcante.presidente@fpsm.tn.it,pilcante.segretario@fpsm.tn.it,,,38061
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""","SCUOLA PRIMARIA ""R. ZANDONAI"" MARTIGNANO",Scuola Primaria,Statale,"Piazza Menghin,  1",TRENTO,0461/982113,0461/237554,ic.comenius@pec.provincia.tn.it,segr.ictn2@scuole.provincia.tn.it,www.icomenius.it,TNEE820034,38121
Scuola dell'infanzia di Borgo Sacco,Scuola dell'Infanzia di Borgo Sacco,Scuola dell'infanzia,Paritaria,"Via Fedrigotti, 9",ROVERETO,0464-430541,,borgo.sacco.presidente@fpsm.tn.it,borgo.sacco.segretario@fpsm.tn.it,,,38068
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via Durone, 53",TIONE DI TRENTO,0465/321735,0465/322811,guetti@pec.provincia.tn.it,segr.guetti@scuole.provincia.tn.it,www.guetti.tn.it,TNTD007519,38079
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via Perlasca, 4",MEZZOLOMBARDO,0461/601122,0461/601470,martini@pec.provincia.tn.it,segr.martini.mezzolombardo@scuole.provincia.tn.it,www.martinomartini.eu,TNRC00350N,38017
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""","SCUOLA PRIMARIA ""B. PEZZEN"" CROVIANA",Scuola Primaria,Statale,"Via delle Scuole, 25",CROVIANA,0463/901237,0463/902866,ic.bassavaldisole@pec.provincia.tn.it,segr.ciccolini.male@scuole.provincia.tn.it,www.icbassavaldisole.it,TNEE833036,38027
ISTITUTO COMPRENSIVO VALLE DI LEDRO,SCUOLA PRIMARIA MOLINA DI LEDRO,Scuola Primaria,Statale,"Via Sartori - Molina di Ledro, 27",LEDRO,0464/592800,0464/592819,ic.vallediledro@pec.provincia.tn.it,segr.ic.bezzecca@scuole.provincia.tn.it,www.icvallediledro.it,TNEE80602R,38067
"Scuola dell'infanzia di Rovereto ""Rosmini""","Scuola dell'Infanzia di Rovereto ""Rosmini""",Scuola dell'infanzia,Paritaria,"Corso Rosmini, 3",ROVERETO,0464-421541,,rovereto.rosmini.presidente@fpsm.tn.it,rovereto.rosmini.segretario@fpsm.tn.it,,,38068
